epoch,batch_idx,computetime,computetime_ms,log_time
_,158,null,340.4678955078125,314.94381380081177
1,158,null,340.4678955078125,314.9438405036926
_,159,null,340.88446044921875,315.28613543510437
1,159,null,340.88446044921875,315.28616189956665
_,160,null,342.0282897949219,315.6293158531189
1,160,null,342.0282897949219,315.62934255599976
_,161,null,340.4841003417969,315.9711685180664
1,161,null,340.4841003417969,315.97119522094727
_,162,null,340.8650207519531,316.31338381767273
1,162,null,340.8650207519531,316.3134112358093
_,163,null,341.65643310546875,316.6562418937683
1,163,null,341.65643310546875,316.656268119812
_,164,null,340.8506774902344,316.9985556602478
1,164,null,340.8506774902344,316.99858236312866
_,165,null,340.9520263671875,317.3407082557678
1,165,null,340.9520263671875,317.34073424339294
_,166,null,341.03399658203125,317.683420419693
1,166,null,341.03399658203125,317.683447599411
_,167,null,340.98577880859375,318.0259132385254
1,167,null,340.98577880859375,318.02594113349915
_,168,null,341.67193603515625,318.3692409992218
1,168,null,341.67193603515625,318.3692684173584
_,169,null,340.2239990234375,318.7108678817749
1,169,null,340.2239990234375,318.7108950614929
_,170,null,342.7502136230469,319.055433511734
1,170,null,342.7502136230469,319.0554599761963
_,171,null,340.8217468261719,319.3978340625763
1,171,null,340.8217468261719,319.39786171913147
_,172,null,340.5486145019531,319.7398512363434
1,172,null,340.5486145019531,319.7398774623871
_,173,null,341.4740905761719,320.0828592777252
1,173,null,341.4740905761719,320.08288645744324
_,174,null,341.28179931640625,320.42589354515076
1,174,null,341.28179931640625,320.42593145370483
_,175,null,341.39532470703125,320.76873207092285
1,175,null,341.39532470703125,320.7687590122223
_,176,null,340.1797790527344,321.11072421073914
1,176,null,340.1797790527344,321.1107506752014
_,177,null,341.3597106933594,321.4537899494171
1,177,null,341.3597106933594,321.453816652298
_,178,null,341.8992614746094,321.797016620636
1,178,null,341.8992614746094,321.797043800354
_,179,null,341.02777099609375,322.1394627094269
1,179,null,341.02777099609375,322.13948941230774
_,180,null,340.9667053222656,322.4822337627411
1,180,null,340.9667053222656,322.4822607040405
_,181,null,341.5027770996094,322.82515954971313
1,181,null,341.5027770996094,322.82519030570984
_,182,null,340.9674377441406,323.1676962375641
1,182,null,340.9674377441406,323.16772413253784
_,183,null,341.7989501953125,323.51096367836
1,183,null,341.7989501953125,323.5109896659851
_,184,null,341.7755126953125,323.8545265197754
1,184,null,341.7755126953125,323.854553937912
_,185,null,340.86212158203125,324.1971757411957
1,185,null,340.86212158203125,324.1972031593323
_,186,null,341.23382568359375,324.53982424736023
1,186,null,341.23382568359375,324.5398509502411
_,187,null,341.8768310546875,324.8833990097046
1,187,null,341.8768310546875,324.8834252357483
_,188,null,341.39532470703125,325.22661662101746
1,188,null,341.39532470703125,325.2266435623169
_,189,null,340.5434265136719,325.56834292411804
1,189,null,340.5434265136719,325.5683696269989
_,190,null,341.8267822265625,325.91142439842224
1,190,null,341.8267822265625,325.9114511013031
_,191,null,342.4645080566406,326.2555658817291
1,191,null,342.4645080566406,326.25559282302856
_,192,null,340.3233337402344,326.59726190567017
1,192,null,340.3233337402344,326.59728837013245
_,193,null,340.8773193359375,326.93939757347107
1,193,null,340.8773193359375,326.93942523002625
_,194,null,341.317626953125,327.2822217941284
1,194,null,341.317626953125,327.2822473049164
_,195,null,341.454833984375,327.6249930858612
1,195,null,341.454833984375,327.6250190734863
_,196,null,340.35302734375,327.9668490886688
1,196,null,340.35302734375,327.96687722206116
_,197,null,340.9111022949219,328.30973267555237
1,197,null,340.9111022949219,328.3097596168518
_,198,null,342.361083984375,328.65341806411743
1,198,null,342.361083984375,328.653443813324
_,199,null,341.2358703613281,328.99618649482727
1,199,null,341.2358703613281,328.996212720871
_,200,null,340.837158203125,329.3388440608978
1,200,null,340.837158203125,329.3388705253601
_,201,null,342.0692443847656,329.68233275413513
1,201,null,342.0692443847656,329.68235898017883
_,202,null,341.3463134765625,330.02514123916626
1,202,null,341.3463134765625,330.0251679420471
_,203,null,340.95513916015625,330.36731576919556
1,203,null,340.95513916015625,330.36734223365784
_,204,null,340.89141845703125,330.70967149734497
1,204,null,340.89141845703125,330.7096984386444
_,205,null,342.656005859375,331.05367040634155
1,205,null,342.656005859375,331.0536961555481
_,206,null,340.1840515136719,331.39505434036255
1,206,null,340.1840515136719,331.39508032798767
_,207,null,341.2459411621094,331.7376594543457
1,207,null,341.2459411621094,331.73768615722656
_,208,null,342.2760925292969,332.0812768936157
1,208,null,342.2760925292969,332.0813043117523
_,209,null,341.36883544921875,332.42397379875183
1,209,null,341.36883544921875,332.4240012168884
_,210,null,340.7923889160156,332.7661693096161
1,210,null,340.7923889160156,332.7662105560303
_,211,null,341.0595703125,333.1084735393524
1,211,null,341.0595703125,333.1085090637207
_,212,null,341.1302490234375,333.4512701034546
1,212,null,341.1302490234375,333.45129776000977
_,213,null,340.15948486328125,333.79294991493225
1,213,null,340.15948486328125,333.7929790019989
_,214,null,341.0216064453125,334.1353225708008
1,214,null,341.0216064453125,334.1353487968445
_,215,null,340.6348571777344,334.47734332084656
1,215,null,340.6348571777344,334.47736978530884
_,216,null,342.1900939941406,334.8207802772522
1,216,null,342.1900939941406,334.8208065032959
_,217,null,340.5600891113281,335.1629457473755
1,217,null,340.5600891113281,335.1629731655121
_,218,null,342.38232421875,335.50719237327576
1,218,null,342.38232421875,335.5072195529938
_,219,null,340.8230285644531,335.8493664264679
1,219,null,340.8230285644531,335.84939336776733
_,220,null,340.81793212890625,336.1916196346283
1,220,null,340.81793212890625,336.19164657592773
_,221,null,341.24798583984375,336.534316778183
1,221,null,341.24798583984375,336.5343451499939
_,222,null,340.0130615234375,336.87570881843567
1,222,null,340.0130615234375,336.8757357597351
_,223,null,341.9862976074219,337.219220161438
1,223,null,341.9862976074219,337.21924686431885
_,224,null,341.8652648925781,337.5627701282501
1,224,null,341.8652648925781,337.5627963542938
_,225,null,340.04205322265625,337.9041109085083
1,225,null,340.04205322265625,337.90415239334106
_,226,null,342.2259216308594,338.24795365333557
1,226,null,342.2259216308594,338.2479815483093
_,227,null,341.7835388183594,338.5911955833435
1,227,null,341.7835388183594,338.59122252464294
_,228,null,340.47076416015625,338.93309926986694
1,228,null,340.47076416015625,338.9331269264221
_,229,null,340.0652770996094,339.2748715877533
1,229,null,340.0652770996094,339.27489829063416
_,230,null,343.404541015625,339.6198899745941
1,230,null,343.404541015625,339.6199154853821
_,231,null,342.2113342285156,339.9633626937866
